species,flipper_length_mm,culmen_length_mm,culmen_depth_mm,body_mass_g,island,sex
Adelie,172.0,37.9,18.6,3150.0,Biscoe,FEMALE
Adelie,174.0,37.8,18.3,3400.0,Biscoe,FEMALE
Adelie,176.0,40.2,17.0,3450.0,Torgersen,FEMALE
Adelie,178.0,39.5,16.7,3250.0,Dream,FEMALE
Adelie,178.0,37.2,18.1,3900.0,Dream,MALE
Adelie,178.0,33.1,16.1,2900.0,Dream,FEMALE
Chinstrap,178.0,46.1,18.2,3250.0,Dream,FEMALE
Adelie,180.0,37.7,18.7,3600.0,Biscoe,MALE
Adelie,180.0,38.8,17.2,3800.0,Biscoe,MALE
Adelie,180.0,40.5,18.9,3950.0,Biscoe,MALE
Adelie,180.0,42.2,18.5,3550.0,Dream,FEMALE
Adelie,181.0,39.1,18.7,3750.0,Torgersen,MALE
Adelie,181.0,37.6,19.3,3300.0,Dream,FEMALE
Adelie,181.0,36.5,16.6,2850.0,Biscoe,FEMALE
Adelie,181.0,38.9,17.8,3625.0,Torgersen,FEMALE
Adelie,181.0,38.1,17.0,3175.0,Biscoe,FEMALE
Chinstrap,181.0,58.0,17.8,3700.0,Dream,FEMALE
Chinstrap,181.0,42.4,17.3,3600.0,Dream,FEMALE
Adelie,182.0,36.5,18.0,3150.0,Dream,FEMALE
Adelie,182.0,41.1,19.0,3425.0,Dream,MALE
Adelie,182.0,41.1,17.6,3200.0,Torgersen,FEMALE
Adelie,183.0,40.6,18.6,3550.0,Biscoe,MALE
Adelie,183.0,37.7,16.0,3075.0,Biscoe,FEMALE
Adelie,184.0,40.9,18.9,3900.0,Dream,MALE
Adelie,184.0,39.8,19.1,4650.0,Dream,MALE
Adelie,184.0,34.4,18.4,3325.0,Torgersen,FEMALE
Adelie,184.0,36.4,17.1,2850.0,Biscoe,FEMALE
Adelie,184.0,37.2,19.4,3900.0,Torgersen,MALE
Adelie,184.0,39.7,18.9,3550.0,Biscoe,MALE
Adelie,184.0,36.6,18.4,3475.0,Dream,FEMALE
Adelie,185.0,36.6,17.8,3700.0,Torgersen,FEMALE
Adelie,185.0,38.2,18.1,3950.0,Biscoe,MALE
Adelie,185.0,37.0,16.9,3000.0,Dream,FEMALE
Adelie,185.0,35.7,16.9,3150.0,Biscoe,FEMALE
Adelie,185.0,37.6,17.0,3600.0,Biscoe,FEMALE
Adelie,185.0,34.0,17.1,3400.0,Dream,FEMALE
Adelie,185.0,37.0,16.5,3400.0,Dream,FEMALE
Adelie,185.0,39.0,18.7,3650.0,Dream,MALE
Chinstrap,185.0,47.0,17.3,3700.0,Dream,FEMALE
Adelie,186.0,39.6,17.7,3500.0,Biscoe,FEMALE
Adelie,186.0,39.0,17.5,3550.0,Biscoe,FEMALE
Adelie,186.0,39.6,18.1,4450.0,Dream,MALE
Adelie,186.0,39.5,17.4,3800.0,Torgersen,FEMALE
Adelie,186.0,35.2,15.9,3050.0,Torgersen,FEMALE
Adelie,186.0,36.0,18.5,3100.0,Dream,FEMALE
Adelie,187.0,34.5,18.1,2900.0,Biscoe,FEMALE
Adelie,187.0,36.2,16.1,3550.0,Torgersen,FEMALE
Adelie,187.0,36.7,18.8,3800.0,Torgersen,FEMALE
Adelie,187.0,36.2,17.3,3300.0,Dream,FEMALE
Adelie,187.0,40.5,17.9,3200.0,Biscoe,FEMALE
Adelie,187.0,36.2,17.2,3150.0,Torgersen,FEMALE
Adelie,187.0,38.1,17.6,3425.0,Dream,FEMALE
Adelie,187.0,40.6,17.2,3475.0,Dream,MALE
Adelie,187.0,36.0,17.1,3700.0,Dream,FEMALE
Adelie,187.0,35.3,18.9,3800.0,Biscoe,FEMALE
Chinstrap,187.0,43.2,16.6,2900.0,Dream,FEMALE
Chinstrap,187.0,40.9,16.6,3200.0,Dream,FEMALE
Chinstrap,187.0,42.5,16.7,3350.0,Dream,FEMALE
Chinstrap,187.0,46.2,17.5,3650.0,Dream,FEMALE
Chinstrap,187.0,51.5,18.7,3250.0,Dream,MALE
Chinstrap,187.0,42.5,17.3,3350.0,Dream,FEMALE
Adelie,188.0,41.1,19.1,4100.0,Biscoe,MALE
Adelie,188.0,39.5,17.8,3300.0,Dream,FEMALE
Adelie,188.0,40.1,18.9,4300.0,Biscoe,MALE
Adelie,188.0,38.6,17.0,2900.0,Torgersen,FEMALE
Adelie,188.0,32.1,15.5,3050.0,Dream,FEMALE
Chinstrap,188.0,45.4,18.7,3525.0,Dream,FEMALE
Adelie,189.0,34.6,17.2,3200.0,Torgersen,FEMALE
Adelie,189.0,36.9,18.6,3500.0,Dream,FEMALE
Adelie,189.0,38.3,19.2,3950.0,Dream,MALE
Adelie,189.0,35.7,17.0,3350.0,Torgersen,FEMALE
Adelie,189.0,41.1,18.6,3325.0,Torgersen,MALE
Adelie,189.0,35.9,19.2,3800.0,Biscoe,FEMALE
Chinstrap,189.0,46.8,16.5,3650.0,Dream,FEMALE
Adelie,190.0,36.3,19.5,3800.0,Dream,MALE
Adelie,190.0,35.5,17.5,3700.0,Torgersen,FEMALE
Adelie,190.0,38.9,18.8,3600.0,Dream,FEMALE
Adelie,190.0,38.8,20.0,3950.0,Dream,MALE
Adelie,190.0,38.1,18.6,3700.0,Dream,FEMALE
Adelie,190.0,37.8,20.0,4250.0,Biscoe,MALE
Adelie,190.0,38.2,20.0,3900.0,Biscoe,MALE
Adelie,190.0,36.0,17.9,3450.0,Dream,FEMALE
Adelie,190.0,33.5,19.0,3600.0,Torgersen,FEMALE
Adelie,190.0,35.9,16.6,3050.0,Torgersen,FEMALE
Adelie,190.0,39.6,18.8,4600.0,Dream,MALE
Adelie,190.0,38.5,17.9,3325.0,Torgersen,FEMALE
Adelie,190.0,41.1,17.5,3900.0,Dream,MALE
Adelie,190.0,39.7,18.4,3900.0,Torgersen,MALE
Adelie,190.0,40.7,17.0,3725.0,Dream,MALE
Adelie,190.0,39.2,18.6,4250.0,Dream,MALE
Chinstrap,190.0,45.9,17.1,3575.0,Dream,FEMALE
Chinstrap,190.0,46.4,18.6,3450.0,Dream,FEMALE
Adelie,190.0,35.0,17.9,3450.0,Biscoe,FEMALE
Adelie,190.0,39.3,20.6,3650.0,Torgersen,MALE
Chinstrap,190.0,50.1,17.9,3400.0,Dream,FEMALE
Adelie,191.0,41.4,18.6,3700.0,Biscoe,MALE
Adelie,191.0,45.6,20.3,4600.0,Biscoe,MALE
Adelie,191.0,39.6,20.7,3900.0,Biscoe,FEMALE
Adelie,191.0,40.9,16.8,3700.0,Torgersen,FEMALE
Adelie,191.0,42.3,21.2,4150.0,Dream,MALE
Adelie,191.0,38.8,17.6,3275.0,Torgersen,FEMALE
Adelie,191.0,39.0,17.1,3050.0,Torgersen,FEMALE
Adelie,191.0,35.6,17.5,3175.0,Dream,FEMALE
Adelie,191.0,38.6,21.2,3800.0,Torgersen,MALE
Adelie,191.0,37.3,17.8,3350.0,Dream,FEMALE
Chinstrap,191.0,48.5,17.5,3400.0,Dream,MALE
Chinstrap,191.0,46.4,17.8,3700.0,Dream,FEMALE
Chinstrap,191.0,45.2,16.6,3250.0,Dream,FEMALE
Adelie,192.0,37.3,16.8,3000.0,Dream,FEMALE
Chinstrap,192.0,46.5,17.9,3500.0,Dream,FEMALE
Adelie,192.0,41.1,18.2,4050.0,Biscoe,MALE
Chinstrap,192.0,46.9,16.6,2700.0,Dream,FEMALE
Adelie,192.0,43.2,18.5,4100.0,Dream,MALE
Adelie,192.0,35.0,17.9,3725.0,Biscoe,FEMALE
Adelie,192.0,41.6,18.0,3950.0,Biscoe,MALE
Adelie,193.0,36.8,18.5,3500.0,Dream,FEMALE
Adelie,193.0,40.6,18.8,3800.0,Biscoe,MALE
Adelie,193.0,35.1,19.4,4200.0,Torgersen,MALE
Adelie,193.0,39.7,17.9,4250.0,Dream,MALE
Adelie,193.0,40.2,17.1,3400.0,Dream,FEMALE
Adelie,193.0,36.7,19.3,3450.0,Torgersen,FEMALE
Adelie,193.0,37.8,18.1,3750.0,Dream,MALE
Chinstrap,193.0,51.3,19.2,3650.0,Dream,MALE
Chinstrap,193.0,46.6,17.8,3800.0,Dream,FEMALE
Chinstrap,193.0,50.6,19.4,3800.0,Dream,MALE
Adelie,193.0,39.7,17.7,3200.0,Biscoe,FEMALE
Adelie,193.0,37.9,18.6,2925.0,Biscoe,FEMALE
Chinstrap,193.0,45.7,17.3,3600.0,Dream,FEMALE
Chinstrap,193.0,49.6,18.2,3775.0,Dream,MALE
Adelie,194.0,41.3,20.3,3550.0,Dream,MALE
Adelie,194.0,37.6,19.1,3750.0,Biscoe,MALE
Chinstrap,194.0,51.7,20.3,3775.0,Dream,MALE
Adelie,194.0,46.0,21.5,4200.0,Torgersen,MALE
Chinstrap,194.0,45.6,19.4,3525.0,Dream,FEMALE
Adelie,195.0,36.4,17.0,3325.0,Dream,FEMALE
Adelie,195.0,36.0,17.8,3450.0,Dream,FEMALE
Adelie,195.0,41.5,18.3,4300.0,Torgersen,MALE
Adelie,195.0,39.2,19.6,4675.0,Torgersen,MALE
Chinstrap,195.0,46.0,18.9,4150.0,Dream,FEMALE
Chinstrap,195.0,49.2,18.2,4400.0,Dream,MALE
Adelie,195.0,40.8,18.4,3900.0,Dream,MALE
Adelie,195.0,41.3,21.1,4400.0,Biscoe,MALE
Chinstrap,195.0,46.7,17.9,3300.0,Dream,FEMALE
Adelie,195.0,42.8,18.5,4250.0,Torgersen,MALE
Chinstrap,195.0,49.7,18.6,3600.0,Dream,MALE
Chinstrap,195.0,47.6,18.3,3850.0,Dream,FEMALE
Adelie,195.0,35.5,16.2,3350.0,Biscoe,FEMALE
Adelie,195.0,38.7,19.0,3450.0,Torgersen,FEMALE
Adelie,195.0,42.1,19.1,4000.0,Torgersen,MALE
Chinstrap,195.0,45.7,17.0,3650.0,Dream,FEMALE
Adelie,195.0,40.3,18.0,3250.0,Torgersen,FEMALE
Adelie,196.0,44.1,19.7,4400.0,Dream,MALE
Adelie,196.0,40.3,18.5,4350.0,Dream,MALE
Adelie,196.0,39.2,21.1,4150.0,Dream,MALE
Adelie,196.0,42.9,17.6,4700.0,Torgersen,MALE
Chinstrap,196.0,50.9,19.1,3550.0,Dream,MALE
Chinstrap,196.0,45.5,17.0,3500.0,Dream,FEMALE
Chinstrap,196.0,50.9,17.9,3675.0,Dream,FEMALE
Adelie,196.0,42.7,18.3,4075.0,Biscoe,MALE
Chinstrap,196.0,50.0,19.5,3900.0,Dream,MALE
Adelie,196.0,39.6,17.2,3550.0,Torgersen,FEMALE
Chinstrap,197.0,50.3,20.0,3300.0,Dream,MALE
Adelie,197.0,42.5,20.7,4500.0,Torgersen,MALE
Chinstrap,197.0,51.3,18.2,3750.0,Dream,MALE
Chinstrap,197.0,52.0,19.0,4150.0,Dream,MALE
Adelie,197.0,43.1,19.2,3500.0,Torgersen,MALE
Adelie,197.0,43.2,19.0,4775.0,Biscoe,MALE
Chinstrap,197.0,52.2,18.8,3450.0,Dream,MALE
Adelie,197.0,42.2,19.5,4275.0,Biscoe,MALE
Adelie,197.0,45.8,18.9,4150.0,Torgersen,MALE
Chinstrap,197.0,52.7,19.8,3725.0,Dream,MALE
Adelie,198.0,41.8,19.4,4450.0,Torgersen,MALE
Adelie,198.0,34.6,21.1,4400.0,Torgersen,MALE
Adelie,198.0,37.7,19.8,3500.0,Torgersen,MALE
Chinstrap,198.0,51.3,19.9,3700.0,Dream,MALE
Chinstrap,198.0,49.8,17.3,3675.0,Dream,FEMALE
Chinstrap,198.0,45.2,17.8,3950.0,Dream,FEMALE
Adelie,198.0,38.1,16.5,3825.0,Biscoe,FEMALE
Chinstrap,198.0,50.2,18.7,3775.0,Dream,FEMALE
Chinstrap,199.0,47.5,16.8,3900.0,Dream,FEMALE
Adelie,199.0,37.3,20.5,3775.0,Torgersen,MALE
Chinstrap,199.0,48.1,16.4,3325.0,Dream,FEMALE
Adelie,199.0,37.5,18.5,4475.0,Dream,MALE
Adelie,199.0,40.6,19.0,4000.0,Torgersen,MALE
Adelie,199.0,38.6,17.2,3750.0,Biscoe,FEMALE
Chinstrap,200.0,49.5,19.0,3800.0,Dream,MALE
Adelie,200.0,40.2,20.1,3975.0,Dream,MALE
Adelie,200.0,42.0,19.5,4050.0,Biscoe,MALE
Chinstrap,200.0,50.5,18.4,3400.0,Dream,FEMALE
Chinstrap,201.0,50.8,18.5,4450.0,Dream,MALE
Chinstrap,201.0,51.4,19.0,3950.0,Dream,MALE
Adelie,201.0,41.5,18.5,4000.0,Dream,MALE
Chinstrap,201.0,50.5,19.6,4050.0,Dream,MALE
Chinstrap,201.0,52.0,18.1,4050.0,Dream,MALE
Chinstrap,201.0,54.2,20.8,4300.0,Dream,MALE
Chinstrap,202.0,50.2,18.8,3800.0,Dream,MALE
Adelie,202.0,35.7,18.0,3550.0,Dream,FEMALE
Chinstrap,202.0,43.5,18.1,3400.0,Dream,FEMALE
Adelie,202.0,41.4,18.5,3875.0,Torgersen,MALE
Chinstrap,203.0,50.7,19.7,4050.0,Dream,MALE
Adelie,203.0,41.0,20.0,4725.0,Biscoe,MALE
Chinstrap,203.0,49.3,19.9,4050.0,Dream,MALE
Chinstrap,203.0,51.0,18.8,4100.0,Dream,MALE
Gentoo,203.0,48.4,14.4,4625.0,Biscoe,FEMALE
Chinstrap,205.0,52.8,20.0,4550.0,Dream,MALE
Adelie,205.0,41.1,18.1,4300.0,Dream,MALE
Chinstrap,205.0,53.5,19.9,4500.0,Dream,MALE
Chinstrap,206.0,51.9,19.5,3950.0,Dream,MALE
Chinstrap,207.0,55.8,19.8,4000.0,Dream,MALE
Gentoo,207.0,45.1,14.5,5050.0,Biscoe,FEMALE
Adelie,208.0,40.8,18.9,4300.0,Dream,MALE
Gentoo,208.0,44.0,13.6,4350.0,Biscoe,FEMALE
Gentoo,208.0,48.7,15.7,5350.0,Biscoe,MALE
Gentoo,208.0,42.7,13.7,3950.0,Biscoe,FEMALE
Gentoo,208.0,43.8,13.9,4300.0,Biscoe,FEMALE
Gentoo,208.0,43.2,14.5,4450.0,Biscoe,FEMALE
Gentoo,208.0,45.3,13.8,4200.0,Biscoe,FEMALE
Gentoo,208.0,43.3,14.0,4575.0,Biscoe,FEMALE
Gentoo,209.0,43.3,13.4,4400.0,Biscoe,FEMALE
Gentoo,209.0,46.2,14.5,4800.0,Biscoe,FEMALE
Gentoo,209.0,42.8,14.2,4700.0,Biscoe,FEMALE
Gentoo,209.0,47.5,14.2,4600.0,Biscoe,FEMALE
Gentoo,209.0,48.1,15.1,5500.0,Biscoe,MALE
Gentoo,210.0,45.8,14.6,4200.0,Biscoe,FEMALE
Gentoo,210.0,42.0,13.5,4150.0,Biscoe,FEMALE
Gentoo,210.0,46.5,13.5,4550.0,Biscoe,FEMALE
Gentoo,210.0,48.2,14.3,4600.0,Biscoe,FEMALE
Chinstrap,210.0,52.0,20.7,4800.0,Dream,MALE
Adelie,210.0,44.1,18.0,4000.0,Torgersen,MALE
Chinstrap,210.0,50.8,19.0,4100.0,Dream,MALE
Chinstrap,210.0,49.0,19.5,3950.0,Dream,MALE
Gentoo,210.0,45.3,13.7,4300.0,Biscoe,FEMALE
Gentoo,210.0,45.5,13.9,4200.0,Biscoe,FEMALE
Gentoo,210.0,46.6,14.2,4850.0,Biscoe,FEMALE
Gentoo,210.0,45.1,14.4,4400.0,Biscoe,FEMALE
Gentoo,210.0,48.7,14.1,4450.0,Biscoe,FEMALE
Gentoo,210.0,41.7,14.7,4700.0,Biscoe,FEMALE
Gentoo,211.0,45.4,14.6,4800.0,Biscoe,FEMALE
Gentoo,211.0,46.1,13.2,4500.0,Biscoe,FEMALE
Gentoo,212.0,49.1,14.5,4625.0,Biscoe,FEMALE
Gentoo,212.0,47.4,14.6,4725.0,Biscoe,FEMALE
Gentoo,212.0,44.9,13.8,4750.0,Biscoe,FEMALE
Gentoo,212.0,47.5,14.0,4875.0,Biscoe,FEMALE
Gentoo,212.0,45.5,14.5,4750.0,Biscoe,FEMALE
Chinstrap,212.0,49.0,19.6,4300.0,Dream,MALE
Gentoo,212.0,45.2,14.8,5200.0,Biscoe,FEMALE
Gentoo,213.0,42.6,13.7,4950.0,Biscoe,FEMALE
Gentoo,213.0,44.9,13.3,5100.0,Biscoe,FEMALE
Gentoo,213.0,46.5,14.5,4400.0,Biscoe,FEMALE
Gentoo,213.0,43.5,15.2,4650.0,Biscoe,FEMALE
Gentoo,213.0,48.4,14.6,5850.0,Biscoe,MALE
Gentoo,213.0,49.9,16.1,5400.0,Biscoe,MALE
Gentoo,214.0,40.9,13.7,4650.0,Biscoe,FEMALE
Gentoo,214.0,45.7,13.9,4400.0,Biscoe,FEMALE
Gentoo,214.0,45.5,13.7,4650.0,Biscoe,FEMALE
Gentoo,214.0,44.5,14.7,4850.0,Biscoe,FEMALE
Gentoo,214.0,47.2,13.7,4925.0,Biscoe,FEMALE
Gentoo,215.0,45.2,15.8,5300.0,Biscoe,MALE
Gentoo,215.0,42.9,13.1,5000.0,Biscoe,FEMALE
Gentoo,215.0,45.1,14.5,5000.0,Biscoe,FEMALE
Gentoo,215.0,45.2,13.8,4750.0,Biscoe,FEMALE
Gentoo,215.0,46.1,15.1,5100.0,Biscoe,MALE
Gentoo,215.0,47.8,15.0,5650.0,Biscoe,MALE
Gentoo,215.0,46.3,15.8,5050.0,Biscoe,MALE
Gentoo,215.0,47.2,15.5,4975.0,Biscoe,FEMALE
Gentoo,215.0,46.8,16.1,5500.0,Biscoe,MALE
Gentoo,215.0,47.6,14.5,5400.0,Biscoe,MALE
Gentoo,215.0,46.8,14.3,4850.0,Biscoe,FEMALE
Gentoo,215.0,46.8,15.4,5150.0,Biscoe,MALE
Gentoo,216.0,49.0,16.1,5550.0,Biscoe,MALE
Gentoo,216.0,47.7,15.0,4750.0,Biscoe,FEMALE
Gentoo,216.0,46.4,15.0,4700.0,Biscoe,FEMALE
Gentoo,216.0,49.4,15.8,4925.0,Biscoe,MALE
